"Card Name","Status","Card Text","Attribute","Level","Monster Type","Card Type","ATK","DEF","Icon","Rank"
"Soul Devouring Bamboo Sword","Unlimited","Card Text Select 1 monster equipped with a ""Bamboo Sword"" Equip Spell Card. If it inflicts Battle Damage to your opponent while equipped with a ""Bamboo Sword"" card, they skip their next Draw Phase. Destroy this card during your second Standby Phase after activation.","","","","","","","Icon Continuous Spell",""
"Cunning of the Six Samurai","Unlimited","Card Text Send 1 face-up ""Six Samurai"" monster you control to the Graveyard, then target 1 ""Six Samurai"" monster in either player's Graveyard; Special Summon that target.","","","","","","","Icon Quick-Play Spell",""
"""A"" Cell Incubator","Unlimited","Card Text Each time an A-Counter(s) is removed from play by a card effect, place 1 A-Counter on this card. When this card is destroyed, distribute the A-Counters on this card among face-up monsters.","","","","","","","Icon Continuous Spell",""
"Updraft","Unlimited","Card Text Remove all Fog Counters from the field. Inflict 300 damage to your opponent for each Fog Counter you removed.","","","","","","","Icon Normal Trap",""
"Release from Stone","Unlimited","Card Text Select 1 of your removed from play Rock-Type monsters, and Special Summon it. When this card is removed from the field, destroy that monster. When that monster is destroyed, destroy this card.","","","","","","","Icon Continuous Trap",""
"Light-Imprisoning Mirror","Unlimited","Card Text Negate all LIGHT monster effects activated on the field or in the Graveyard.","","","","","","","Icon Continuous Trap",""
"Shadow-Imprisoning Mirror","Unlimited","Card Text Negate all DARK monster effects activated on the field or in the Graveyard.","","","","","","","Icon Continuous Trap",""
"Disarm","Unlimited","Card Text Return 1 ""Gladiator Beast"" card from your hand to the Deck, and negate the activation and effect of a Spell Card, and destroy it.","","","","","","","Icon Counter Trap",""
"Parry","Unlimited","Card Text Return 1 ""Gladiator Beast"" card from your hand to the Deck, and negate the activation and effect of a Trap Card, and destroy it.","","","","","","","Icon Counter Trap",""
"Swiftstrike Armor","Unlimited","Card Text During your Draw Phase, each time you draw a ""Six Samurai"" Monster Card(s): You can reveal it; Special Summon it.","","","","","","","Icon Continuous Trap",""
"Double-Edged Sword Technique","Unlimited","Card Text Target 2 ""Six Samurai"" monsters in your GY; Special Summon those targets in Attack Position. During the End Phase of this turn, destroy them, and if you do, take damage equal to those destroyed monsters' ATK.","","","","","","","Icon Normal Trap",""
"Energy-Absorbing Monolith","Unlimited","Card Text Chain this card to an opponent's card effect that would inflict damage to you. That damage is negated, and you gain Life Points equal to the amount you would have taken.","","","","","","","Icon Normal Trap",""
"Cell Explosion Virus","Unlimited","Card Text Activate only when an opponent's monster with an A-Counter(s) declares an attack. Destroy all Attack Position monsters your opponent controls.","","","","","","","Icon Normal Trap",""
"Detonator Circle ""A""","Unlimited","Card Text Destroy 1 face-up monster with an A-Counter(s), and then inflict 1000 damage to each player.","","","","","","","Icon Normal Trap",""
"Interdimensional Warp","Unlimited","Card Text Select a monster you control and a monster with an A-Counter(s) your opponent controls. Switch control of those monsters.","","","","","","","Icon Normal Trap",""
"Foolish Revival","Unlimited","Card Text Select 1 monster from your opponent's Graveyard, and Special Summon it in face-up Defense Position on your opponent's side of the field.","","","","","","","Icon Normal Trap",""
"An Unfortunate Report","Unlimited","Card Text Your opponent conducts their next Battle Phase twice.","","","","","","","Icon Normal Trap",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Fiendish Engine Ω","Unlimited","Card Text During your End Phase: Special Summon 1 ""Engine Token"" (Machine-Type/EARTH/Level 1/ATK 200/DEF 200) in Attack Position. Once per turn: You can have this card gain 1000 ATK until the End Phase. During the End Phase, if this effect of this card was used: Destroy this card.","Attribute DARK","Level 8","Monster Type Machine","Card Type Effect","ATK 2800","DEF 2000","",""
"Gemini Summoner","Unlimited","Card Text Once per turn, during your opponent's End Phase: You can pay 500 LP; Normal Summon/Set 1 Gemini monster from your hand or Normal Summon 1 face-up Gemini monster you control. The first time this card would be destroyed by battle each turn, it is not destroyed.","Attribute WATER","Level 4","Monster Type Spellcaster","Card Type Effect","ATK 1500","DEF 0","",""
"Ocean's Keeper","Unlimited","Card Text During battle between this attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponent. When this card is destroyed by battle, add 1 ""Thousand-Eyes Jellyfish"" or 1 ""Cranium Fish"" from your Deck to your hand.","Attribute WATER","Level 3","Monster Type Fish","Card Type Effect","ATK 1500","DEF 1200","",""
"Thousand-Eyes Jellyfish","Unlimited","Card Text This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by Tributing 1 ""Ocean's Keeper"". Your opponent must play with their hand revealed.","Attribute WATER","Level 5","Monster Type Fish","Card Type Effect","ATK 300","DEF 2100","",""
"Cranium Fish","Unlimited","Card Text You can Special Summon this card by Tributing 1 ""Ocean's Keeper"". You can discard 1 WATER monster to the Graveyard to destroy 1 face-down card.","Attribute WATER","Level 6","Monster Type Fish","Card Type Effect","ATK 2400","DEF 1000","",""
"Abyssal Kingshark","Unlimited","Card Text Once per turn, if this card would be destroyed by an effect that does not target it, it is not destroyed.","Attribute WATER","Level 4","Monster Type Fish","Card Type Effect","ATK 1700","DEF 600","",""
"Mormolith","Unlimited","Card Text You can Tribute 1 face-up EARTH monster to destroy all face-up monsters with DEF equal to or less than the ATK of the Tributed card.","Attribute EARTH","Level 4","Monster Type Rock","Card Type Effect","ATK 1000","DEF 900","",""
"Fossil Tusker","Unlimited","Card Text When this card destroys an opponent's monster by battle and sends it to the Graveyard, inflict 400 damage to your opponent.","Attribute EARTH","Level 4","Monster Type Rock","Card Type Effect","ATK 1800","DEF 0","",""
"Phantom Dragonray Bronto","Unlimited","Card Text This card is treated as a Normal Monster while face-up on the field or in the Graveyard. While this card is face-up on the field, you can Normal Summon it to have it be treated as an Effect Monster with this effect:●The original ATK of this card becomes 2300. If this card attacks, it is changed to Defense Position at the end of the Battle Phase. This card's battle position cannot be changed until the end of your next turn, except with a card effect.","Attribute WATER","Level 4","Monster Type Fish","Card Type Gemini / Effect","ATK 1500","DEF 1000","",""
"Il Blud","Unlimited","Card Text This card is treated as a Normal Monster while face-up on the field or in the GY. While this card is a Normal Monster on the field, you can Normal Summon it to have it become an Effect Monster with this effect.●Once per turn: You can Special Summon 1 Zombie monster from your hand or from either GY, but if this card leaves the field, destroy all Zombie monsters Special Summoned by this effect.","Attribute DARK","Level 6","Monster Type Zombie","Card Type Gemini / Effect","ATK 2100","DEF 800","",""
"Blazewing Butterfly","Unlimited","Card Text This card is treated as a Normal Monster while face-up on the field or in the Graveyard. While this card is a Normal Monster on the field, you can Normal Summon it to have it become an Effect Monster with this effect.●You can Tribute this card, then target 1 Gemini monster in your Graveyard, except ""Blazewing Butterfly""; Special Summon that target, and if you do, it becomes an Effect Monster, and gains its effect.","Attribute FIRE","Level 4","Monster Type Insect","Card Type Gemini / Effect","ATK 1500","DEF 1500","",""
"Armityle the Chaos Phantom","Unlimited","Card Text ""Uria, Lord of Searing Flames"" + ""Hamon, Lord of Striking Thunder"" + ""Raviel, Lord of Phantasms""Must first be Special Summoned (from your Extra Deck) by banishing the above cards you control. (You do not use ""Polymerization"".) Cannot be destroyed by battle. This card gains 10,000 ATK during your turn only.","Attribute DARK","Level 12","Monster Type Fiend","Card Type Fusion / Effect","ATK 0","DEF 0","",""
"White Night Dragon","Unlimited","Card Text During either player's turn, when a Spell/Trap Card that targets this card is activated: Negate the activation, and if you do, destroy it. When another face-up monster you control is targeted for an attack: You can send 1 Spell/Trap Card you control to the Graveyard; change the attack target to this card.","Attribute WATER","Level 8","Monster Type Dragon","Card Type Effect","ATK 3000","DEF 2500","",""
"Arcana Force EX - The Light Ruler","Unlimited","Card Text Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by sending 3 monsters you control to the Graveyard, and cannot be Special Summoned by other ways. When this card is Special Summoned: Toss a coin and gain the appropriate effect.●Heads: When this card destroys an opponent's monster by battle and sends it to the Graveyard: You can target 1 card in your Graveyard; add that target to your hand.●Tails: During either player's turn, when a Spell/Trap Card, or monster effect, that targets this card is activated: This card loses exactly 1000 ATK and you negate the activation, and if you do, destroy it.","Attribute LIGHT","Level 10","Monster Type Fairy","Card Type Effect","ATK 4000","DEF 4000","",""
"Card Blocker","Unlimited","Card Text When this card is Summoned: Change it to Defense Position. When a face-up monster you control is targeted for an attack: You can change the target to this card. When this card is targeted for an attack: You can choose a number from 1 to 3, then send that many cards from the top of your Deck to the Graveyard; this card gains 500 DEF for each card sent, until the End Phase.","Attribute EARTH","Level 3","Monster Type Warrior","Card Type Effect","ATK 400","DEF 400","",""
"Beast King Barbaros","Unlimited","Card Text You can Normal Summon/Set this card without Tributing, but its original ATK becomes 1900. You can Tribute 3 monsters to Tribute Summon (but not Set) this card. If Summoned this way: Destroy all cards your opponent controls.","Attribute EARTH","Level 8","Monster Type Beast-Warrior","Card Type Effect","ATK 3000","DEF 1200","",""
"Splendid Venus","Unlimited","Card Text All non-Fairy monsters lose 500 ATK/DEF. The activation and effects of Spell/Trap Cards activated on your field cannot be negated.","Attribute LIGHT","Level 8","Monster Type Fairy","Card Type Effect","ATK 2800","DEF 2400","",""
